Indicator,Type,Ignore,Function,Data,Val,RoundPrecision,Exporter
Accumulation/Distribution (ADL),Volume Indicators,,ADL,,Volume,,Y
Adaptive Price Zone (APZ),Moving Averages and Related Indicators,,APZ,"Upper, Lower",Price,3,N
Aroon,Oscillators,Y,Aroon,"Upper, Lower",Oscillator,0,N
Aroon Oscillator,Oscillators,,AroonOscillator,,Oscillator,0,Y
Average Directional Index (ADX),Trend Indicators,,ADX,,Oscillator,0,Y
Average Directional Movement Rating (ADXR),Trend Indicators,,ADXR,,Oscillator,0,Y
Average True Range (ATR),Volatility Indicators,,ATR,,Oscillator,1,Y
Balance of Power (BOP),Oscillators,,BOP,,Oscillator,3,Y
Block Volume,Volume Indicators,,BlockVolume,,Volume,,N
Bollinger Bands,Volatility Indicators,,Bollinger,"Upper, Middle, Lower",Price,0,N
BuySell Pressure,Other Indicators,Y,BuySellPressure,,Volume,,N
BuySell Volume,Volume Indicators,Y,BuySellVolume,,Volume,,N
Camarilla Pivots,Pivot Point Indicators,,CamarillaPivots,"R1, R2, R3, R4, S1, S2, S3, S4",Price,3,N
CandleStickPattern,Other Indicators,Y,CandlestickPattern,,,,N
Chaikin Money Flow,Volume Indicators,,ChaikinMoneyFlow,,Oscillator,0,Y
Chaikin Oscillator,Oscillators,,ChaikinOscillator,,Oscillator,0,Y
Chaikin Volatility,Volatility Indicators,,ChaikinVolatility,,Oscillator,0,Y
Chande Momentum Oscillator (CMO),Oscillators,,CMO,,Oscillator,0,Y
Choppiness Index,Momentum Indicators,,ChoppinessIndex,,Oscillator,0,Y
Commodity Channel Index (CCI),Oscillators,,CCI,,Oscillator,0,Y
Correlation,Other Indicators,Y,Correlation,,,,N
Current Day OHL,Pivot Point Indicators,,CurrentDayOHL,"CurrentOpen, CurrentHigh, CurrentLow",Price,3,N
Darvas,Trend Indicators,Y,Darvis,"Upper, Lower",Price,3,N
Directional Movement (DM),Trend Indicators,,DM,"ADX, DiPlus, DiMinus",Oscillator,0,Y
Directional Movement Index (DMI),Trend Indicators,,DMI,,Oscillator,0,Y
Disparity Index,Moving Averages and Related Indicators,,DisparityIndex,,Oscillator,3,Y
Donchian Channel,Volatility Indicators,,DonchianChannel,"Mean, Upper, Lower",Price,3,N
Double Stochastics,Oscillators,,DoubleStochastics,K,Oscillator,0,Y
Dynamic Momentum Index (DMIndex),Oscillators,,DMIndex,,Oscillator,0,Y
Ease of Movement,Oscillators,,EaseOfMovement,,Oscillator,0,Y
Fibonacci Pivots,Pivot Point Indicators,,FibonacciPivots,"PP, R1, R2, R3, S1, S2, S3",Price,3,N
Fisher Transform,Oscillators,,FisherTransform,,Oscillator,1,Y
Forecast Oscillator (FOSC),Oscillators,,FOSC,,Oscillator,2,Y
Keltner Channel,Volatility Indicators,,KeltnerChannel,"Midline, Upper, Lower",Price,3,N
Linear Regression,Other Indicators,,LinReg,,Price,3,N
Linear Regression Intercept,Other Indicators,,LinRegIntercept,,Price,3,N
Linear Regression Slope,Other Indicators,,LinRegSlope,,Oscillator,1,N
MA Envelopes,Other Indicators,Y,MAEnvelopes,"Upper, Middle, Lower",Price,3,N
